city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Flint-Michigan,124932,96448,-22.8,28015,26901,-3.98,49100,27400,-44.2,1000.1,670.5,-11.54,38.9
Detroit-Michigan,950711,673104,-29.2,29526,30344,2.77,62800,50200,-20.06,1042.3,838.2,-8.41,34.5
Youngstown-Ohio,81984,64604,-21.2,24201,28843,19.18,40700,41400,1.72,752.9,440,3.46,34.9
Gary-Indiana,102713,76008,-26,27195,26669,-1.93,51900,66900,28.9,626.8,436.7,0.82,36.3
Reading-Pennsylvania,81196,88423,8.9,26698,31160,16.71,45000,70000,55.56,724.7,358.7,4.86,30.7
Trenton-New-Jersey,85390,84964,-0.5,31074,31882,2.6,66200,98100,48.19,760.3,499.7,26.11,30.4
Dayton-Ohio,166119,140371,-15.5,27423,30643,11.74,66700,63900,-4.2,734.2,571.7,-4.88,30.7
Cleveland-Ohio,478318,385525,-19.4,25928,28974,11.75,71100,70200,-1.27,830.7,691.8,-3.84,33.1
Rochester-New-York,219689,208046,-5.3,27123,33588,23.84,62100,82400,32.69,647.8,406.9,-8.99,32.3
Muncie-Indiana,67411,68625,1.8,26613,30555,14.81,57100,72100,26.27,370.6,290.4,-5.02,30.7
Lansing-Michigan,119130,116986,-1.8,34833,39957,14.71,73000,85700,17.4,538.6,483.9,7.48,26.3
Hammond-Indiana,83009,76618,-7.7,35528,45999,29.47,78500,89200,13.63,558.6,329.1,13.26,19.3
Kansas-City-Kansas,146914,152938,4.1,33011,45118,36.68,51900,103800,100,687.5,553.9,-0.22,18.6
Canton-Ohio,80761,70909,-12.2,28730,30046,4.58,66400,74200,11.75,655.4,630.2,-11.56,30.1
South-Bend-Indiana,107739,102245,-5.1,32439,42007,29.5,66200,87600,32.33,560.1,509.2,-8.3,20.1
Buffalo-New-York,292547,258612,-11.6,24536,34814,41.89,58800,92700,57.65,726.5,514.7,0.11,29.6
Memphis-Tennessee,650285,652236,0.3,32285,39333,21.83,72300,98700,36.51,962.8,854.5,-3.58,24.6
Jackson-Mississippi,184288,166965,-9.4,30414,39004,28.24,64200,93400,45.48,620.9,555.7,-17.49,23.8
Akron-Ohio,217174,197846,-8.9,31835,36816,15.65,76800,81600,6.25,524.3,479.4,-0.32,22.5
Birmingham-Alabama,242753,210710,-13.2,26735,33553,25.5,62200,87800,41.16,916.8,875.8,2.71,25.4
Toledo-Ohio,313481,276491,-11.8,32546,37339,14.73,73700,78400,6.38,761.9,452.9,4.48,24.5
