Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Flint , Michigan",40035,28700,65900,-9%,714,449,5.3%,7%,$51,$51, $	90.83 , $	21.04 , $	143.20 ,$71.40, $	89.42 ,$71.40,14.08%,6.13%,-7.95%,2.49%
"Detroit , Michigan",260383,45700,87600,-7%,798,544,4.3%,6%,$46,$46, $	139.33 , $	33.51 , $	153.93 ,$79.80, $	89.42 ,$79.80,9.06%,4.73%,-4.33%,1.75%
"Youngstown , Ohio",27457,44500,57900,-3%,657,389,6.0%,4%,$25,$26, $	81.33 , $	25.71 , $	135.66 ,$65.70, $	72.00 ,$65.70,8.69%,6.68%,-2.01%,1.48%
"Gary , Indiana",31389,67400,76700,-1%,766,522,4.4%,9%,$70,$70, $	86.67 , $	63.09 , $	149.89 ,$76.60, $	99.83 ,$76.60,5.68%,5.00%,-0.69%,1.14%
"Reading , Pennsylvania",28805,70800,70900,-0%,797,529,4.7%,11%,$89,$89, $	141.67 , $	33.41 , $	153.81 ,$79.70, $	66.75 ,$79.70,5.07%,5.06%,-0.01%,1.13%
"Trenton , New Jersey",27401,95100,140700,-4%,1029,746,3.6%,9%,$95,$95, $	374.58 , $	15.42 , $	181.59 ,$102.90, $	59.25 ,$102.90,3.28%,2.22%,-1.06%,1.08%
"Dayton , Ohio",57704,66500,82300,-2%,681,457,4.5%,8%,$55,$55, $	135.75 , $	38.43 , $	138.86 ,$68.10, $	72.00 ,$68.10,4.42%,3.57%,-0.85%,1.02%
"Cleveland , Ohio",169365,68500,90300,-3%,700,485,4.2%,7%,$46,$46, $	128.83 , $	39.58 , $	141.37 ,$70.00, $	72.00 ,$70.00,4.80%,3.64%,-1.16%,1.02%
"Rochester , New York",86057,82000,75200,1%,831,583,4.0%,8%,$64,$64, $	229.50 , $	23.52 , $	158.04 ,$83.10, $	77.92 ,$83.10,3.99%,4.35%,0.36%,1.01%
"Muncie , Indiana",27481,70800,76800,-1%,716,499,4.1%,8%,$57,$57, $	65.92 , $	66.27 , $	143.46 ,$71.60, $	99.83 ,$71.60,5.28%,4.87%,-0.41%,1.01%
"Lansing , Michigan",48926,80000,103800,-3%,807,577,3.8%,7%,$54,$54, $	171.75 , $	58.65 , $	155.06 ,$80.70, $	89.42 ,$80.70,4.30%,3.32%,-0.99%,1.01%
